#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2016 03 24 15 50  70  8.0  9.0   0.9    10   4.0 144 1026.7  -1.5   3.9  -3.3   MM +0.3    MM
2016 03 24 14 50  80  7.0  9.0   0.9     4   4.0  87 1027.1   0.2   4.1  -6.2   MM +0.6    MM
2016 03 24 13 50  40  7.0  9.0   1.0     4   4.0  89 1027.0   0.1   4.1  -7.5   MM +0.8    MM
2016 03 24 12 50  50  8.0 10.0   0.9     4   3.8  79 1026.4  -0.3   4.3  -8.1   MM +0.8    MM
2016 03 24 11 50  40  9.0 11.0   1.0     4   3.9  76 1026.5  -0.1   4.3 -10.3   MM +2.0    MM
2016 03 24 10 50  30  8.0 10.0   0.9     4   3.8  75 1026.2   0.6   4.3 -12.3   MM +2.7    MM
2016 03 24 09 50  40  8.0 11.0   0.8     4   3.7  75 1025.6   0.9   4.4 -12.1   MM +2.1    MM
2016 03 24 08 50  50  8.0  9.0   0.7     4   3.6  67 1024.5   1.2   4.4 -11.1   MM +1.3    MM
2016 03 24 07 50  40  8.0  9.0   0.7     4   3.6  55 1023.5   1.7   4.4 -10.6   MM +0.6    MM
2016 03 24 06 50  30  8.0  9.0   0.7     3   3.5  39 1023.5   2.2   4.4 -11.4   MM +1.6    MM
2016 03 24 05 50  20  8.0 10.0   0.6     3   3.5  21 1023.2   3.1   4.4  -8.7   MM +1.8    MM
2016 03 24 04 50  10  8.0 10.0   0.6     3   3.5  19 1022.9   3.6   4.5  -9.3   MM +2.5    MM
2016 03 24 03 50  10  8.0  9.0   0.6     3   3.6   9 1021.9   4.1   4.5  -9.6   MM +2.1    MM
2016 03 24 02 50 350  6.0  7.0   0.5     8   4.2 137 1021.4   5.0   4.5  -5.8   MM +2.3    MM
2016 03 24 01 50  10  5.0  6.0   0.5     8   5.1 139 1020.4   5.5   4.5  -1.6   MM +2.5    MM
2016 03 24 00 50 350  2.0  2.0   0.6     5   4.7 160 1019.8   5.5   4.5   0.3   MM +3.3    MM
2016 03 23 23 50  MM  0.0  1.0   0.6     8   4.7 156 1019.1   4.6   4.6   2.0   MM +3.6    MM
2016 03 23 22 50 120  2.0  3.0   0.6     5   4.7 179 1017.9   5.0   4.6   1.0   MM +3.2    MM
2016 03 23 21 50 100  3.0  3.0   0.6     6   4.7 168 1016.5   5.1   4.7   0.2   MM +2.8    MM
2016 03 23 20 50  50  4.0  5.0   0.8     6   4.7 172 1015.5   5.0   4.7   0.9   MM +2.7    MM
2016 03 23 19 50  30  5.0  5.0   0.9     6   4.3 169 1014.7   5.0   4.7   0.1   MM +2.5    MM
2016 03 23 18 50  10  7.0  8.0   1.0     7   4.6 165 1013.7   5.2   4.7  -0.2   MM +2.0    MM
2016 03 23 17 50 360  7.0  8.0   1.0     6   4.9 164 1012.8   5.8   4.7   0.8   MM +1.6    MM
2016 03 23 16 50 360  7.0  8.0   1.0     6   4.9 161 1012.2   6.0   4.6   0.4   MM +1.7    MM
2016 03 23 15 50  10  6.0  7.0   1.1     6   5.0 162 1011.7   5.4   4.5   1.0   MM +1.3    MM
2016 03 23 14 50 360  1.0  2.0   1.0     6   4.8 154 1011.2   5.4   4.4   3.7   MM +1.3    MM
2016 03 23 13 50 220  4.0  5.0   1.2     6   5.0 162 1010.5   5.2   4.3   3.6   MM +1.2    MM
2016 03 23 12 50 230  2.0  3.0   1.3     6   5.0 162 1010.4   5.1   4.2   3.4   MM +1.4    MM
2016 03 23 11 50 220  5.0  6.0   1.4     6   5.0 169 1009.9   5.5   4.3   3.1   MM +0.3    MM
2016 03 23 10 50 210  7.0  8.0   1.5     6   4.8 171 1009.3   5.6   4.4   3.2   MM -0.9    MM
2016 03 23 09 50 210 10.0 11.0   1.5     6   4.9 179 1009.0   5.7   4.4   3.1   MM -2.3    MM
2016 03 23 08 50 210 10.0 11.0   1.4     6   4.7 168 1009.6   5.7   4.4   3.1   MM -2.9    MM
2016 03 23 07 50 210 10.0 12.0   1.3     6   4.4 179 1010.2   5.2   4.4   3.1   MM -3.0    MM
2016 03 23 06 50 210 10.0 12.0   1.1     5   4.2 181 1011.3   5.1   4.5   2.7   MM -3.0    MM
2016 03 23 05 50 210 10.0 11.0   1.0     4   3.9 196 1012.5   5.1   4.5   1.7   MM -2.5    MM
2016 03 23 04 50 210  9.0 11.0   0.7     4   3.4 199 1013.2   5.3   4.5   1.1   MM -1.9    MM
2016 03 23 03 50 210  9.0 11.0   0.4     4   3.7 206 1014.3   5.7   4.3   0.7   MM -1.1    MM
2016 03 23 02 50 190  5.0  6.0   0.3     4   4.0 203 1015.0   5.5   4.3   0.2   MM +0.0    MM
2016 03 23 01 50 200  5.0  6.0   0.4     4   3.9 203 1015.1   5.5   4.3  -0.7   MM +0.4    MM
2016 03 23 00 50 220  5.0  5.0   0.5     4   3.9 192 1015.4   5.9   4.4  -2.3   MM +1.4    MM
2016 03 22 23 50 230  6.0  7.0   0.5     4   4.0 204 1014.9   6.2   4.4  -3.2   MM +0.9    MM
2016 03 22 22 50 260  6.0  7.0   0.6    10   3.8  68 1014.7   6.3   4.4  -3.3   MM -0.0    MM
2016 03 22 21 50 260  9.0 11.0   0.7    10   3.7  79 1014.0   6.7   4.5  -5.7   MM -0.6    MM
2016 03 22 20 50 260  9.0 12.0   0.5    10   4.0 103 1014.0   6.2   4.5  -6.3   MM -1.2    MM
2016 03 22 19 50 220  4.0  5.0   0.5    10   3.8  99 1014.6   5.0   4.4  -7.6   MM -1.1    MM
2016 03 22 18 50 250  7.0  9.0   0.6    10   3.8 132 1014.6   4.2   4.3  -9.8   MM -1.6    MM
2016 03 22 17 50 270  9.0 11.0   0.6    10   3.5  88 1015.2   3.2   4.3  -9.8   MM -1.0    MM
2016 03 22 16 50 250  8.0 10.0   0.6    11   3.5 282 1015.7   2.3   4.2 -10.4   MM +0.0    MM
2016 03 22 15 50 270  7.0  9.0   0.6    11   3.6  99 1016.2   1.4   4.1 -11.6   MM +0.9    MM
2016 03 22 14 50 270  9.0 12.0   0.6    11   3.6 100 1016.2   0.6   4.0 -12.1   MM +1.6    MM
2016 03 22 13 50 280  9.0 11.0   0.6    11   4.0  72 1015.8   0.2   4.0 -11.8   MM +2.1    MM
2016 03 22 12 50 290  8.0  9.0   0.7    11   4.6  90 1015.3  -0.4   4.0 -12.6   MM +2.9    MM
2016 03 22 11 50 280  8.0 10.0   0.9    10   5.3  82 1014.6  -0.5   4.0 -11.7   MM +3.2    MM
2016 03 22 10 50 290  8.0  9.0   1.2    10   5.9  81 1013.7  -0.1   4.0 -10.2   MM +3.7    MM
2016 03 22 09 50 280 10.0 12.0   1.1    10   5.7  86 1012.4   0.5   4.1  -9.6   MM +2.5    MM
2016 03 22 08 50 280  9.0 11.0   0.9     9   4.5 108 1011.4   1.1   4.1  -8.7   MM +2.0    MM
2016 03 22 07 50 270 11.0 14.0   0.8     9   4.8 104 1010.0   1.5   4.0  -8.6   MM +1.2    MM
2016 03 22 06 50 270  8.0 10.0   0.7     9   5.2 112 1009.9   1.5   4.0  -8.2   MM +1.7    MM
2016 03 22 05 50 280  8.0 10.0   0.7     9   5.0 104 1009.4   2.0   3.9  -8.5   MM +1.6    MM
2016 03 22 04 50 280  9.0 12.0   1.0     9   5.2 113 1008.8   2.2   3.9  -8.3   MM +1.5    MM
2016 03 22 03 50 280  8.0  9.0   0.9     8   5.5 103 1008.2   2.1   3.8  -8.8   MM +1.9    MM
2016 03 22 02 50 270  6.0  8.0   1.0     8   6.2 107 1007.8   2.6   3.8  -8.8   MM +2.5    MM
2016 03 22 01 50 280  7.0  8.0   1.0     8   5.2 107 1007.3   2.8   3.9  -9.6   MM +3.0    MM
2016 03 22 00 50 300  9.0 12.0   0.9     7   5.5 106 1006.3   3.3   3.9  -9.6   MM +2.7    MM
2016 03 21 23 50 300  5.0  7.0   0.8     7   6.6 109 1005.3   3.8   3.8  -3.4   MM +1.7    MM
2016 03 21 22 50 240  2.0  3.0   0.8     7   6.1 116 1004.3   3.4   3.9  -1.9   MM +0.3    MM
2016 03 21 21 50 280  2.0  3.0   0.8     7   5.8 114 1003.6   3.9   3.9  -3.0   MM -0.6    MM
2016 03 21 20 50 300  5.0  6.0   0.8     6   5.0 117 1003.6   3.4   3.9  -3.1   MM -0.9    MM
2016 03 21 19 50 300  6.0  8.0   0.7     7   4.3 121 1004.0   2.4   3.9  -3.0   MM -1.3    MM
2016 03 21 18 50 300  6.0  8.0   0.6     5   3.6 110 1004.2   1.1   3.9  -2.8   MM -2.0    MM
2016 03 21 17 50 320  7.0  9.0   0.6     5   3.8 104 1004.5   0.2   3.7  -2.3   MM -2.0    MM
2016 03 21 16 50 310  5.0  7.0   0.5     5   3.6 106 1005.3  -1.0   3.7  -2.0   MM -2.3    MM
2016 03 21 15 50 320  5.0  7.0   0.5     3   3.3 356 1006.2  -1.4   3.7  -2.6   MM -1.4    MM
2016 03 21 14 50 330  8.0  9.0   0.5     3   3.2  12 1006.5  -1.9   3.7  -3.0   MM -2.9    MM
2016 03 21 13 50 330  7.0  8.0   0.5     3   3.1  42 1007.6  -2.1   3.7  -3.1   MM -2.0    MM
2016 03 21 12 50 350  7.0  9.0   0.5     3   3.2  24 1007.6  -2.2   3.7  -2.6   MM -3.3    MM
2016 03 21 11 50 350  6.0  7.0   0.5     3   3.2  23 1009.4  -2.3   3.7  -2.6   MM -2.7    MM
2016 03 21 10 50 350  8.0 10.0   0.5     3   3.1  22 1009.6  -2.0   3.6  -2.2   MM -3.1    MM
2016 03 21 09 50 340  8.0  9.0   0.4    11   3.1 144 1010.9  -1.9   3.7  -2.0   MM -2.3    MM
2016 03 21 08 50  10  5.0  6.0   0.3     9   4.3 128 1012.1  -2.0   3.7  -2.3   MM -2.9    MM
2016 03 21 07 50  50  4.0  5.0   0.3    11   4.1 142 1012.7  -2.1   3.8  -2.9   MM -4.0    MM
2016 03 21 06 50  50  4.0  7.0   0.3    11   3.9 105 1013.2  -0.6   3.8  -4.9   MM -3.3    MM
2016 03 21 05 50  50  3.0  4.0   0.3    11   3.7 149 1015.0  -0.3   3.8  -5.8   MM -3.7    MM
2016 03 21 04 50 140  2.0  3.0   0.3    11   3.5 161 1016.7  -0.2   3.8  -6.5   MM -1.9    MM
2016 03 21 03 50 100  1.0  3.0   0.3    11   3.5  94 1016.5  -0.3   3.9  -6.3   MM -2.8    MM
2016 03 21 02 50 170  3.0  4.0   0.3    11   3.4  50 1018.7  -0.2   4.0  -6.3   MM -0.8    MM
2016 03 21 01 50 130  3.0  5.0   0.3    12   3.6  56 1018.6  -0.4   4.0  -6.6   MM -1.7    MM
2016 03 21 00 50 150  4.0  6.0   0.3    12   3.7 129 1019.3  -0.4   4.0  -7.3   MM -1.2    MM
2016 03 20 23 50 130  4.0  5.0   0.3    11   3.6 136 1019.5  -0.7   4.1  -8.1   MM -1.7    MM
2016 03 20 22 50 160  4.0  5.0   0.3    12   3.7 147 1020.3  -0.8   4.2  -8.6   MM -1.5    MM
2016 03 20 21 50 160  4.0  5.0   0.3    10   3.7  90 1020.5  -1.0   4.3  -8.5   MM -1.8    MM
2016 03 20 20 50 180  5.0  7.0   0.3    11   4.3 120 1021.2  -1.2   4.3  -9.8   MM -1.8    MM
2016 03 20 19 50 170  5.0  6.0   0.3    11   4.7 163 1021.8  -1.4   4.5  -9.9   MM -2.1    MM
2016 03 20 18 50 150  4.0  5.0   0.3    12   4.2  95 1022.3  -1.9   4.4 -11.7   MM -2.2    MM
2016 03 20 17 50 140  4.0  5.0   0.3    11   4.2 116 1023.0  -2.4   4.4 -12.6   MM -1.8    MM
2016 03 20 16 50 110  2.0  3.0   0.3    11   3.9 171 1023.9  -2.5   4.2 -15.3   MM -0.7    MM
2016 03 20 15 50  40  2.0  3.0   0.4     3   3.4  59 1024.5  -3.0   4.1 -14.3   MM -0.5    MM
2016 03 20 14 50  40  4.0  6.0   0.4     3   3.3  47 1024.8  -3.1   4.0 -13.2   MM -0.4    MM
2016 03 20 13 50  30  6.0  8.0   0.5     3   3.3  42 1024.6  -3.3   3.8 -12.4   MM +0.0    MM
2016 03 20 12 50  30  7.0  8.0   0.5     4   3.3  60 1025.0  -3.3   3.8 -13.8   MM +1.4    MM
2016 03 20 11 50  30  6.0  8.0   0.5     3   3.2  43 1025.2  -3.0   3.7 -13.7   MM +1.8    MM
2016 03 20 10 50  30  6.0  8.0   0.5     3   3.2  32 1024.4  -3.0   3.7 -13.0   MM +1.7    MM
2016 03 20 09 50  20  7.0  8.0   0.4     3   3.1  40 1023.6  -2.8   3.8 -13.2   MM +1.3    MM
2016 03 20 08 50  20  7.0  9.0   0.5     3   3.1  22 1023.4  -2.5   3.9 -12.6   MM +1.3    MM
2016 03 20 07 50 350  9.0 11.0   0.6     3   3.2  11 1022.7  -2.1   4.1 -12.5   MM +1.3    MM
2016 03 20 06 50 350 10.0 12.0   0.6     3   3.2  22 1022.3  -2.0   4.1 -11.9   MM +1.1    MM
2016 03 20 05 50 340  9.0 11.0   0.7     3   3.2  27 1022.1  -1.7   4.1 -11.2   MM +1.4    MM
2016 03 20 04 50 340 11.0 14.0   0.8     3   3.3   9 1021.4  -1.6   4.0 -11.9   MM +1.6    MM
2016 03 20 03 50 340 11.0 14.0   0.8     3   3.4   1 1021.2  -1.2   4.0 -11.7   MM +2.1    MM
2016 03 20 02 50 340 11.0 13.0   0.7     3   3.2 354 1020.7  -0.7   4.0 -11.4   MM +2.6    MM
2016 03 20 01 50 340 11.0 13.0   0.7     3   3.3   3 1019.8   0.4   4.1 -11.4   MM +2.6    MM
2016 03 20 00 50 330 10.0 12.0   0.5    13   3.2 115 1019.1   1.4   4.2 -11.6   MM +2.8    MM
2016 03 19 23 50 340  7.0  9.0   0.3    13   4.8  13 1018.1   2.9   4.3 -10.3   MM +2.0    MM
2016 03 19 22 50  MM  0.0  1.0   0.4    12   5.0  93 1017.2   3.1   4.4  -9.6   MM +1.1    MM
2016 03 19 21 50 180  2.0  2.0   0.4    13   5.9  84 1016.3   3.3   4.6 -10.2   MM -0.0    MM
2016 03 19 20 50 170  3.0  4.0   0.4    13   7.6 123 1016.1   2.0   4.5 -10.2   MM -0.6    MM
2016 03 19 19 50 140  4.0  4.0   0.4    11   7.2 138 1016.1   0.7   4.7  -9.4   MM -1.0    MM
2016 03 19 18 50 160  3.0  5.0   0.5    11   7.7 113 1016.5   0.2   4.8 -12.0   MM -1.0    MM
2016 03 19 17 50 160  3.0  4.0   0.5    11   8.6 116 1016.7  -0.3   4.8 -12.1   MM -0.9    MM
2016 03 19 16 50 170  1.0  3.0   0.5    14   8.0 132 1017.1  -0.7   4.8 -12.3   MM -0.8    MM
2016 03 19 15 50  30  2.0  3.0   0.5    12   7.8 102 1017.5  -1.3   4.6 -12.4   MM -0.4    MM
2016 03 19 14 50 270  4.0  6.0   0.5    13   6.1  93 1017.6  -1.8   4.2 -13.0   MM +0.0    MM
2016 03 19 13 50 300  5.0  6.0   0.5    14   5.0 141 1017.9  -2.6   4.2 -13.5   MM +0.5    MM
2016 03 19 12 50 320  4.0  6.0   0.5    14   4.9  14 1017.9  -2.9   4.1 -13.0   MM +1.6    MM
2016 03 19 11 50 310  6.0  8.0   0.6    13   5.4  81 1017.6  -3.0   4.1 -12.9   MM +2.2    MM
2016 03 19 10 50 320  6.0  8.0   0.6    13   4.7 110 1017.4  -2.8   4.2 -12.3   MM +2.5    MM
2016 03 19 09 50 330  6.0  8.0   0.7    12   4.7  71 1016.3  -2.5   4.2 -12.2   MM +2.1    MM
2016 03 19 08 50 330  8.0  9.0   0.8    14   4.6  85 1015.4  -2.1   4.3 -11.4   MM +1.8    MM
2016 03 19 07 50 310  8.0 11.0   0.9     9   4.8  95 1014.9  -1.5   4.3 -11.3   MM +1.8    MM
2016 03 19 06 50 330 10.0 12.0   0.9    10   4.5  90 1014.2  -1.0   4.4 -11.0   MM +1.7    MM
2016 03 19 05 50 330 10.0 12.0   0.9    14   4.3 130 1013.6   0.0   4.5 -10.3   MM +1.8    MM
2016 03 19 04 50 320 10.0 12.0   0.9    13   4.6 100 1013.1   0.9   4.5  -8.8   MM +2.0    MM
2016 03 19 03 50 330  7.0  9.0   0.8    14   4.9  61 1012.5   1.3   4.5  -7.2   MM +2.4    MM
2016 03 19 02 50 350  7.0  8.0   0.7    13   4.7  98 1011.8   1.6   4.5  -8.4   MM +2.9    MM
2016 03 19 01 50 340  6.0  7.0   0.8    12   4.5  96 1011.1   2.1   4.6  -8.9   MM +3.7    MM
2016 03 19 00 50 340  8.0 10.0   1.1    14   4.6  61 1010.1   2.4   4.6  -8.6   MM +4.3    MM
2016 03 18 23 50 340 10.0 12.0   1.0    14   4.3 335 1008.9   3.0   4.6  -7.1   MM +4.4    MM
2016 03 18 22 50 340  9.0 11.0   0.9    15   4.6  56 1007.4   4.5   4.7  -7.0   MM +3.8    MM
2016 03 18 21 50 340  9.0 11.0   1.0     9   5.0  95 1005.8   5.6   4.9  -6.4   MM +3.2    MM
2016 03 18 20 50 330  8.0 10.0   1.2     8   5.1  91 1004.5   6.5   5.0  -5.1   MM +2.5    MM
2016 03 18 19 50 320  8.0 11.0   1.4     9   6.1  93 1003.6   7.0   5.0  -4.8   MM +2.1    MM
2016 03 18 18 50 280  8.0  9.0   1.2    10   5.2  88 1002.6   7.8   4.9  -1.9   MM +1.2    MM
2016 03 18 17 50 310  6.0  8.0   1.3    13   6.2  66 1002.0   7.2   5.0   0.2   MM +0.8    MM
2016 03 18 16 50 280  9.0 11.0   1.3    12   6.8  99 1001.5   7.7   5.0   0.0   MM +0.0    MM
2016 03 18 15 50 270  7.0  8.0   1.3    10   7.2  93 1001.4   7.6   4.9   0.6   MM +0.0    MM
2016 03 18 14 50 270  5.0  7.0   1.3    13   7.6  82 1001.2   7.2   4.9   0.8   MM +0.0    MM
2016 03 18 13 50 230  6.0  7.0   1.2    14   6.6 132 1001.3   5.6   4.7   2.1   MM +0.3    MM
2016 03 18 12 50 240  7.0  8.0   1.3    11   6.3  98 1001.3   5.4   4.6   1.8   MM +0.3    MM
2016 03 18 11 50 240  8.0  9.0   1.3    15   6.3 127 1001.1   5.5   4.6   1.8   MM +0.0    MM
2016 03 18 10 50 240  7.0  8.0   1.3    15   6.6 108 1001.0   5.6   4.7   1.5   MM +0.0    MM
2016 03 18 09 50 240  6.0  7.0   1.4     8   6.7 107 1001.0   5.4   4.8   1.8   MM -0.4    MM
2016 03 18 08 50 240  5.0  6.0   1.5    15   7.3 139 1001.0   5.6   4.8   2.3   MM -1.2    MM
2016 03 18 07 50 240  6.0  8.0   1.5     9   7.2  85 1000.9   6.0   4.9   2.3   MM -2.0    MM
2016 03 18 06 50 240  6.0  7.0   1.5    13   7.8  69 1001.4   6.1   4.8   2.7   MM -1.9    MM
2016 03 18 05 50 220  4.0  5.0   1.7     9   8.6 101 1002.2   5.7   4.8   4.0   MM -1.6    MM
2016 03 18 04 50 250  3.0  4.0   1.7    15   8.5  79 1002.9   6.0   4.9   3.2   MM -1.0    MM
2016 03 18 03 50 230  6.0  7.0   1.7    13   8.2  83 1003.3   6.3   4.8   3.2   MM +0.0    MM
2016 03 18 02 50 230  5.0  6.0   1.9    10   9.0  88 1003.8   6.2   4.9   3.9   MM +0.0    MM
2016 03 18 01 50 250  4.0  6.0   1.7    14   8.7 101 1003.9   6.4   4.8   4.2   MM +0.5    MM
2016 03 18 00 50 230  6.0  7.0   1.6    12   8.4 103 1003.5   6.3   4.7   4.2   MM +0.0    MM
2016 03 17 23 50 220  5.0  6.0   1.6    11   7.6 100 1003.6   6.0   4.7   4.0   MM +0.8    MM
2016 03 17 22 50 210  6.0  7.0   1.5    15   7.4 108 1003.4   6.6   4.8   4.1   MM -0.0    MM
2016 03 17 21 50 220  4.0  5.0   1.7    15   7.7 117 1003.4   6.7   4.8   4.4   MM -0.0    MM
2016 03 17 20 50 160  5.0  6.0   1.8    11   8.2 103 1002.8   5.8   4.9   5.4   MM -1.8    MM
2016 03 17 19 50 160  2.0  4.0   2.0    11   8.5 105 1003.5   5.8   4.9   5.7   MM -2.4    MM
2016 03 17 18 50 170  6.0  7.0   2.1    10   8.7  99 1003.5   5.8   4.8   5.8   MM -3.3    MM
2016 03 17 17 50 180  4.0  5.0   1.9    10   8.5  89 1004.6   5.6   4.8   5.6   MM -3.4    MM
2016 03 17 16 50 190  5.0  6.0   2.1     9   9.0 123 1005.9   5.1   4.6   5.1   MM -2.6    MM
2016 03 17 15 50 200  5.0  5.0   1.9    10   8.9 121 1006.8   5.0   4.6   5.0   MM -1.8    MM
2016 03 17 14 50 200  4.0  5.0   1.8    11   8.6 100 1008.0   5.0   4.5   5.0   MM -0.7    MM
2016 03 17 13 50 210  3.0  4.0   1.7    13   8.6 101 1008.5   5.1   4.5   5.1   MM +0.0    MM
2016 03 17 12 50 190  5.0  6.0   1.7    13   8.5 117 1008.6   5.1   4.5   5.1   MM -0.8    MM
2016 03 17 11 50 170  3.0  4.0   1.8    15   8.5 100 1008.7   4.9   4.5   4.9   MM -0.7    MM
2016 03 17 10 50 160  3.0  4.0   1.7    14   8.3 116 1008.7   4.5   4.5   4.5   MM -2.0    MM
2016 03 17 09 50  80  3.0  3.0   1.7     9   8.2 110 1009.4   4.5   4.5   4.5   MM -2.4    MM
2016 03 17 08 50  80  3.0  4.0   1.8    14   8.3 110 1009.4   4.6   4.5   4.6   MM -1.3    MM
